"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","accessToken이 없으면 redirect를 throw한다","requireAuth","2026-03-23","passed","2026-03-23","","","",""
"","0","월/일 경계값을 처리한다 (월 말일)","formatDate","2026-03-23","passed","2026-03-23","","","",""
"","1","logout()은 localStorage의 accessToken을 제거한다","authStore","2026-03-23","passed","2026-03-23","","","",""
"","3","토큰 없으면 Authorization 헤더가 없다","api client","2026-03-23","passed","2026-03-23","","","",""
"","216","폼 입력값이 유지된다","LoginPage - 로그인 폼","2026-03-23","passed","2026-03-23","","","",""
"","0","setLoggedIn(false)는 isLoggedIn을 false로 만든다","authStore","2026-03-23","passed","2026-03-23","","","",""
"","0","UTC 15:00 → KST 다음날 00:00로 변환된다 (경계값)","formatDateTime","2026-03-23","passed","2026-03-23","","","",""
"","0","Date 객체도 입력받을 수 있다","formatDateTime","2026-03-23","passed","2026-03-23","","","",""
"","54","본인인증 SDK 호출 중 에러 메시지를 표시한다","LoginPage - 본인인증","2026-03-23","passed","2026-03-23","","","",""
"","2","setLoggedIn(true)는 isLoggedIn을 true로 만든다","authStore","2026-03-23","passed","2026-03-23","","","",""
"","222","로그인 상태면 Logout 버튼을 보여준다","Header","2026-03-23","passed","2026-03-23","","","",""
"","6","모든 네비게이션 링크가 렌더링된다","Header","2026-03-23","passed","2026-03-23","","","",""
"","2","성공 시 statusCode 200을 반환한다","changePassword API","2026-03-23","passed","2026-03-23","","","",""
"","1","윤년 2월을 처리한다","formatDate","2026-03-23","passed","2026-03-23","","","",""
"","1","UTC 15:00 → KST 다음날로 변환된다 (경계값)","formatDate","2026-03-23","passed","2026-03-23","","","",""
"","2","에러 배열이 비어있으면 기본 에러 메시지를 사용한다","api client","2026-03-23","passed","2026-03-23","","","",""
"","0","UTC 12:30 → KST 21:30 (시간 변환)","formatDateTime","2026-03-23","passed","2026-03-23","","","",""
"","2","statusCode가 200이 아니면 에러를 던진다","api client","2026-03-23","passed","2026-03-23","","","",""
"","335","로그인 실패 시 에러 메시지를 표시한다","LoginPage - 로그인 폼","2026-03-23","passed","2026-03-23","","","",""
"","35","성공 시 accessToken을 포함한 응답을 반환한다","login API","2026-03-23","passed","2026-03-23","","","",""
"","253","로그인 중에는 버튼이 disabled 상태다","LoginPage - 로그인 폼","2026-03-23","passed","2026-03-23","","","",""
"","2","redirect는 /login으로 이동시킨다","requireAuth","2026-03-23","passed","2026-03-23","","","",""
"","2","서버 오류 시 에러를 던진다","login API","2026-03-23","passed","2026-03-23","","","",""
"","0","Date 객체도 입력받을 수 있다","formatDate","2026-03-23","passed","2026-03-23","","","",""
"","1","토큰이 없을 때마다 redirect가 호출된다","requireAuth","2026-03-23","passed","2026-03-23","","","",""
"","95","본인인증은 여러 번 시도할 수 있다","LoginPage - 본인인증","2026-03-23","passed","2026-03-23","","","",""
"","1","분 단위를 정확히 표시한다","formatDateTime","2026-03-23","passed","2026-03-23","","","",""
"","303","UTC 날짜를 KST YYYY.MM.DD 형식으로 변환한다","formatDate","2026-03-23","passed","2026-03-23","","","",""
"","3","HTTP 에러 응답(500)을 처리한다","api client","2026-03-23","passed","2026-03-23","","","",""
"","1","토큰 없으면 401 에러를 던진다","withdraw API","2026-03-23","passed","2026-03-23","","","",""
"","3","POST 요청 시 본문을 JSON으로 전송한다","api client","2026-03-23","passed","2026-03-23","","","",""
"","1","유효하지 않은 입력으로 가입하면 에러를 던진다","signup API","2026-03-23","passed","2026-03-23","","","",""
"","2","네트워크 에러를 처리한다","api client","2026-03-23","passed","2026-03-23","","","",""
"","0","logout()은 isLoggedIn을 false로 만든다","authStore","2026-03-23","passed","2026-03-23","","","",""
"","6","HTTP 에러 응답(401)을 처리한다","api client","2026-03-23","passed","2026-03-23","","","",""
"","2","서버 오류 시 에러를 던진다","withdraw API","2026-03-23","passed","2026-03-23","","","",""
"","64","본인인증 API 성공 시 성공 메시지를 표시한다","LoginPage - 본인인증","2026-03-23","passed","2026-03-23","","","",""
"","74","Logout 버튼 클릭 시 isLoggedIn이 false가 된다","Header","2026-03-23","passed","2026-03-23","","","",""
"","1","UTC 14:59 → KST 23:59 (같은 날)","formatDate","2026-03-23","passed","2026-03-23","","","",""
"","0","스토어는 여러 상태 변경을 지원한다","authStore","2026-03-23","passed","2026-03-23","","","",""
"","46","Logout 버튼 클릭 시 전체 흐름이 올바르게 동작한다","Header","2026-03-23","passed","2026-03-23","","","",""
"","0","whitespace만 있는 토큰도 없는 것으로 간주한다","requireAuth","2026-03-23","passed","2026-03-23","","","",""
"","36","Authorization 헤더에 localStorage 토큰을 자동으로 포함한다","api client","2026-03-23","passed","2026-03-23","","","",""
"","57","본인인증 중에는 버튼이 disabled 상태다","LoginPage - 본인인증","2026-03-23","passed","2026-03-23","","","",""
"","1","UTC 날짜시간을 KST YYYY.MM.DD HH:mm 형식으로 변환한다","formatDateTime","2026-03-23","passed","2026-03-23","","","",""
"","49","본인인증 버튼을 클릭하면 SDK를 호출한다","LoginPage - 본인인증","2026-03-23","passed","2026-03-23","","","",""
"","1","여러 번 호출해도 모두 동일하게 동작한다","requireAuth","2026-03-23","passed","2026-03-23","","","",""
"","0","logout()은 accessToken 제거와 isLoggedIn을 동시에 처리한다","authStore","2026-03-23","passed","2026-03-23","","","",""
"","4","실패 시 에러를 던진다","login API","2026-03-23","passed","2026-03-23","","","",""
"","631","이메일과 비밀번호를 입력하고 로그인할 수 있다","LoginPage - 로그인 폼","2026-03-23","passed","2026-03-23","","","",""
"","1","성공 시 statusCode 200을 반환한다","signup API","2026-03-23","passed","2026-03-23","","","",""
"","1","UTC 14:59 → KST 23:59 (경계값)","formatDateTime","2026-03-23","passed","2026-03-23","","","",""
"","1","accessToken이 있으면 아무것도 하지 않는다","requireAuth","2026-03-23","passed","2026-03-23","","","",""
"","1","UTC 23:00 → KST 다음날 08:00","formatDateTime","2026-03-23","passed","2026-03-23","","","",""
"","1","중복 이메일로 가입하면 에러를 던진다","signup API","2026-03-23","passed","2026-03-23","","","",""
"","1","현재 비밀번호가 틀리면 에러를 던진다","changePassword API","2026-03-23","passed","2026-03-23","","","",""
